Year,Month,Day,Hour,Minute,Second,SunLongitude,SunDistance,Zodiac,Daylight,MercuryLongitude,MercuryLatitude,MercuryDistance,VenusLongitude,VenusLatitude,VenusDistance,MarsLongitude,MarsLatitude,MarsDistance,JupiterLongitude,JupiterLatitude,JupiterDistance,SaturnLongitude,SaturnLatitude,SaturnDistance,UranusLongitude,UranusLatitude,UranusDistance,NeptuneLongitude,NeptuneLatitude,NeptuneDistance,PlutoLongitude,PlutoLatitude,PlutoDistance,MoonLongitude,MoonLatitude,MoonDistance,MoonPhase
2019,1,12,18,0,0,291.720092,0.983488,Capricorn,9.457312,280.949904,-1.153048,1.394513,244.982097,3.350822,0.722126,7.438696,-0.052936,1.358602,253.910166,0.625339,6.090409,282.502731,0.472059,11.011539,28.376939,-0.528511,19.725157,344.105915,-0.966163,30.526316,290.728273,-0.119097,34.696564,4.819830,-4.768069,0.002665,73.099746
2019,1,13,0,0,0,291.974794,0.983499,Capricorn,9.462142,281.338154,-1.176231,1.395860,245.246406,3.345281,0.724025,7.607684,-0.047978,1.360741,253.959902,0.625262,6.087866,282.532057,0.471796,11.010850,28.378208,-0.528369,19.729424,344.112401,-0.966092,30.529753,290.736716,-0.119475,34.696651,7.904092,-4.865428,0.002659,75.929296
2019,1,13,6,0,0,292.229516,0.983510,Capricorn,9.467026,281.726882,-1.199182,1.397175,245.511045,3.339604,0.725925,7.776685,-0.043035,1.362880,254.009568,0.625186,6.085312,282.561368,0.471533,11.010145,28.379534,-0.528227,19.733690,344.118911,-0.966022,30.533180,290.745161,-0.119854,34.696716,11.003439,-4.948985,0.002653,78.773932
2019,1,13,12,0,0,292.484199,0.983522,Capricorn,9.471964,282.116086,-1.221901,1.398458,245.776010,3.333792,0.727824,7.945701,-0.038108,1.365020,254.059167,0.625111,6.082747,282.590667,0.471271,11.009424,28.380911,-0.528085,19.737961,344.125451,-0.965951,30.536594,290.753603,-0.120232,34.696774,14.118499,-5.018305,0.002646,81.634308
2019,1,13,18,0,0,292.738901,0.983534,Capricorn,9.476955,282.505771,-1.244385,1.399708,246.041299,3.327845,0.729723,8.114730,-0.033196,1.367160,254.108695,0.625037,6.080172,282.619954,0.471010,11.008686,28.382345,-0.527943,19.742231,344.132017,-0.965882,30.539997,290.762046,-0.120611,34.696804,17.249865,-5.072979,0.002639,84.510963
2019,1,14,0,0,0,292.993584,0.983546,Capricorn,9.481998,282.895941,-1.266631,1.400925,246.306909,3.321766,0.731621,8.283773,-0.028299,1.369300,254.158153,0.624964,6.077585,282.649226,0.470750,11.007934,28.383832,-0.527801,19.746508,344.138608,-0.965812,30.543388,290.770488,-0.120990,34.696819,20.398085,-5.112618,0.002632,87.404499
2019,1,14,6,0,0,293.248248,0.983559,Capricorn,9.487094,283.286595,-1.288638,1.402110,246.572840,3.315555,0.733520,8.452828,-0.023418,1.371442,254.207540,0.624892,6.074987,282.678486,0.470490,11.007164,28.385373,-0.527659,19.750782,344.145226,-0.965743,30.546768,290.778925,-0.121369,34.696815,23.563675,-5.136865,0.002625,90.315431
2019,1,14,12,0,0,293.502931,0.983571,Capricorn,9.492244,283.677739,-1.310404,1.403262,246.839086,3.309212,0.735418,8.621897,-0.018551,1.373583,254.256861,0.624821,6.072378,282.707731,0.470231,11.006378,28.386971,-0.527517,19.755058,344.151870,-0.965675,30.550138,290.787365,-0.121748,34.696793,26.747094,-5.145390,0.002618,93.244167
2019,1,14,18,0,0,293.757594,0.983585,Capricorn,9.497446,284.069375,-1.331925,1.404382,247.105646,3.302739,0.737315,8.790976,-0.013700,1.375726,254.306106,0.624751,6.069758,282.736962,0.469972,11.005577,28.388623,-0.527375,19.759338,344.158541,-0.965606,30.553495,290.795802,-0.122126,34.696751,29.948767,-5.137901,0.002610,96.191183
2019,1,15,0,0,0,294.012238,0.983598,Capricorn,9.502701,284.461502,-1.353200,1.405470,247.372517,3.296138,0.739213,8.960069,-0.008863,1.377869,254.355281,0.624682,6.067128,282.766177,0.469714,11.004760,28.390328,-0.527233,19.763618,344.165238,-0.965539,30.556839,290.804238,-0.122505,34.696693,33.169062,-5.114142,0.002602,99.156821
2019,1,15,6,0,0,294.266901,0.983612,Capricorn,9.508009,284.854128,-1.374226,1.406525,247.639695,3.289407,0.741110,9.129173,-0.004042,1.380012,254.404386,0.624614,6.064486,282.795377,0.469457,11.003925,28.392092,-0.527091,19.767899,344.171962,-0.965471,30.560173,290.812671,-0.122885,34.696613,36.408312,-5.073900,0.002595,102.141415
2019,1,15,12,0,0,294.521545,0.983626,Capricorn,9.513369,285.247250,-1.395001,1.407547,247.907180,3.282550,0.743007,9.298289,0.000765,1.382156,254.453418,0.624547,6.061833,282.824563,0.469200,11.003076,28.393903,-0.526949,19.772184,344.178712,-0.965404,30.563494,290.821103,-0.123264,34.696518,39.666776,-5.017008,0.002587,105.145221
2019,1,15,18,0,0,294.776190,0.983641,Capricorn,9.518781,285.640877,-1.415523,1.408537,248.174966,3.275565,0.744903,9.467416,0.005557,1.384300,254.502377,0.624481,6.059170,282.853734,0.468944,11.002210,28.395774,-0.526807,19.776466,344.185488,-0.965338,30.566803,290.829532,-0.123643,34.696407,42.944678,-4.943350,0.002579,108.168494
2019,1,16,0,0,0,295.030814,0.983656,Capricorn,9.524245,286.035008,-1.435790,1.409495,248.443051,3.268456,0.746799,9.636554,0.010333,1.386445,254.551263,0.624416,6.056496,282.882887,0.468689,11.001328,28.397697,-0.526665,19.780752,344.192287,-0.965271,30.570101,290.837962,-0.124022,34.696274,46.242175,-4.852863,0.002571,111.211362
2019,1,16,6,0,0,295.285439,0.983671,Capricorn,9.529762,286.429647,-1.455799,1.410420,248.711434,3.261222,0.748695,9.805704,0.015095,1.388590,254.600076,0.624352,6.053811,282.912025,0.468434,11.000430,28.399674,-0.526523,19.785038,344.199113,-0.965205,30.573387,290.846386,-0.124402,34.696121,49.559370,-4.745542,0.002562,114.273927
2019,1,16,12,0,0,295.540044,0.983686,Capricorn,9.535330,286.824799,-1.475548,1.411312,248.980114,3.253864,0.750590,9.974863,0.019842,1.390736,254.648814,0.624289,6.051115,282.941146,0.468180,10.999516,28.401706,-0.526381,19.789326,344.205965,-0.965140,30.576660,290.854809,-0.124781,34.695953,52.896311,-4.621449,0.002554,117.356265
2019,1,16,18,0,0,295.794649,0.983702,Capricorn,9.540950,287.220467,-1.495034,1.412172,249.249082,3.246384,0.752485,10.144033,0.024575,1.392883,254.697477,0.624226,6.048408,282.970250,0.467926,10.998586,28.403794,-0.526240,19.793613,344.212843,-0.965075,30.579918,290.863229,-0.125161,34.695766,56.252980,-4.480710,0.002546,120.458333
2019,1,17,0,0,0,296.049254,0.983718,Capricorn,9.546623,287.616649,-1.514255,1.413000,249.518345,3.238781,0.754379,10.313213,0.029292,1.395029,254.746068,0.624165,6.045691,282.999338,0.467674,10.997640,28.405936,-0.526098,19.797903,344.219746,-0.965010,30.583170,290.871647,-0.125540,34.695560,59.629303,-4.323522,0.002538,123.580053
2019,1,17,6,0,0,296.303821,0.983734,Capricorn,9.552346,288.013356,-1.533208,1.413794,249.787893,3.231059,0.756274,10.482402,0.033995,1.397177,254.794584,0.624105,6.042964,283.028409,0.467421,10.996678,28.408132,-0.525956,19.802193,344.226671,-0.964946,30.586403,290.880062,-0.125920,34.695339,63.025141,-4.150157,0.002531,126.721317
2019,1,17,12,0,0,296.558426,0.983751,Capricorn,9.558122,288.410586,-1.551892,1.414556,250.057723,3.223216,0.758167,10.651600,0.038683,1.399324,254.843022,0.624045,6.040226,283.057460,0.467170,10.995700,28.410381,-0.525815,19.806484,344.233626,-0.964882,30.589626,290.888477,-0.126299,34.695095,66.440299,-3.960967,0.002523,129.881872
2019,1,17,18,0,0,296.812973,0.983768,Capricorn,9.563948,288.808345,-1.570304,1.415285,250.327837,3.215254,0.760060,10.820809,0.043357,1.401472,254.891384,0.623987,6.037476,283.086494,0.466919,10.994705,28.412687,-0.525673,19.810774,344.240604,-0.964819,30.592840,290.896885,-0.126679,34.694832,69.874514,-3.756382,0.002515,133.061540
2019,1,18,0,0,0,297.067558,0.983786,Capricorn,9.569826,289.206638,-1.588441,1.415982,250.598229,3.207174,0.761953,10.990025,0.048016,1.403621,254.939672,0.623930,6.034716,283.115510,0.466668,10.993696,28.415045,-0.525532,19.815067,344.247606,-0.964756,30.596037,290.905289,-0.127059,34.694553,73.327463,-3.536916,0.002508,136.259914
2019,1,18,6,0,0,297.322105,0.983803,Capricorn,9.575754,289.605466,-1.606300,1.416645,250.868900,3.198977,0.763846,11.159252,0.052660,1.405770,254.987881,0.623873,6.031946,283.144507,0.466418,10.992671,28.417458,-0.525390,19.819359,344.254635,-0.964693,30.599224,290.913693,-0.127439,34.694260,76.798756,-3.303169,0.002501,139.476660
